web-scraper-order,web-scraper-start-url,descriptions,prix,Addresses,Images-src,Paginations,Paginations-href
"1729549931-72","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Liberté 2","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-73","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","110 000 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-74","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Sicap Foire","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-75","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","250 000 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-76","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Point E","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-77","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","135 400 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-78","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Sud Foire","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-79","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","59 000 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-80","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Sud Foire","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-81","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","187 400 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-82","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Sud Foire","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-83","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","132 000 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-84","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Virage","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-85","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","138 700 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-86","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Sacré Coeur","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-87","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","262 350 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-88","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Dakar","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-89","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","150 000 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-90","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Sacré Coeur","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-91","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","70 000 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-92","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Maristes","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-93","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","60 000 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-94","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Almadies","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-95","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","135 000 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-96","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Sacré Coeur","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-97","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","85 000 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-98","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Amitié","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-99","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","250 000 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-100","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Mermoz","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-101","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","215 000 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-102","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Mermoz","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-103","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","2 000 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-104","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","Plateau","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
"1729549931-105","https://dakarvente.com/annonces-categorie-appartements-vendre-61.html","","115 000 000 FCFA","","media/annonces/pics/thumbs/a18dcf362eb6999224af307ad195d7f4.jpg","2","https://dakarvente.com/index.php?page=annonces_categorie&id=61&sort=&nb=2"
